Player,ppg,rpg,apg,bpg,spg,fg_pct,ft_pct,pct,mvp.prob,mvp.prob.norm
Stephen Curry,23.8,4.3,7.7,0.2,2,0.487,0.914,0.817073171,0.99755261,0.088039865
James Harden,27.4,5.7,7,0.7,1.9,0.44,0.868,0.682926829,0.991639607,0.087518008
Russell Westbrook,28.1,7.3,8.6,0.2,2.1,0.426,0.835,0.548780488,0.932908451,0.082334639
LeBron James,25.3,6,7.4,0.7,1.6,0.488,0.71,0.646341463,0.928755387,0.081968107
Chris Paul,19.1,4.6,10.2,0.2,1.9,0.485,0.9,0.682926829,0.883982159,0.078016607
Blake Griffin,21.9,7.6,5.3,0.5,0.9,0.502,0.728,0.682926829,0.862865158,0.076152908
Klay Thompson,21.7,3.2,2.9,0.8,1.1,0.463,0.879,0.817073171,0.828838258,0.073149835
Pau Gasol,18.5,11.8,2.7,1.9,0.3,0.494,0.803,0.609756098,0.814930235,0.07192237
LaMarcus Aldridge,23.4,10.2,1.7,1,0.7,0.466,0.845,0.62195122,0.735531139,0.064914935
Anthony Davis,24.4,10.2,2.2,2.9,1.5,0.535,0.805,0.548780488,0.718925508,0.06344939
Marc Gasol,17.4,7.8,3.8,1.6,0.9,0.494,0.795,0.670731707,0.444146165,0.039198503
Draymond Green,11.7,8.2,3.7,1.3,1.6,0.443,0.66,0.817073171,0.412303463,0.036388198
Kevin Durant,25.4,6.6,4.1,0.9,0.9,0.51,0.854,0.548780488,0.271461718,0.023958088
Al Horford,15.2,7.2,3.2,1.3,0.9,0.538,0.759,0.731707317,0.246496731,0.021754781
Paul Millsap,16.7,7.8,3.1,0.9,1.8,0.476,0.757,0.731707317,0.192004685,0.016945539
Damian Lillard,21,4.6,6.2,0.3,1.2,0.434,0.864,0.62195122,0.178394153,0.01574433
Tim Duncan,13.9,9.1,3,1.9,0.8,0.512,0.74,0.670731707,0.164713132,0.014536899
Jeff Teague,15.9,2.5,7,0.4,1.7,0.46,0.862,0.731707317,0.107546089,0.009491573
DeAndre Jordan,11.5,15,0.7,2.2,1,0.71,0.397,0.682926829,0.08685816,0.007665742
John Wall,17.6,4.6,10,0.6,1.7,0.445,0.785,0.56097561,0.083571224,0.00737565
